permitID,yelpID,categories,street_address,zip,lat,lon,rating,review_count
172655.0,a-deli-washington,"[[Italian, italian], [Delis, delis], [Sandwiches, sandwiches]]",[1300 2nd St NE],20002,38.9074406773,-77.0035775006,3.5,28.0
6476.0,a-deli-washington,"[[Italian, italian], [Delis, delis], [Sandwiches, sandwiches]]",[1300 2nd St NE],20002,38.9074406773,-77.0035775006,3.5,28.0
7190.0,a-and-d-bar-washington,"[[Dive Bars, divebars], [Cocktail Bars, cocktailbars]]",[1314 9th St NW],20001,38.9077644348,-77.0242538452,4.0,83.0
6764.0,a-bar-kitchen-washington,"[[Lounges, lounges]]","[Avenue Suites, 2500 Pennsylvania Ave]",20037,38.9034195,-77.0537262,4.0,43.0
6994.0,a-bloomin-sandwich-cafe-washington,"[[Sandwiches, sandwiches]]",[2141 K St NW 20037],20037,38.9029198,-77.048027,4.5,3.0
4408.0,aatish-on-the-hill-washington,"[[Indian, indpak], [Pakistani, pakistani]]",[609 Pennsylvania Ave SE],20003,38.8850631714,-76.9980392456,3.0,162.0
188728.0,ababa-restaurant-northwest-washington,"[[Ethiopian, ethiopian], [African, african], [Ethnic Food, ethnicmarkets]]",[2106 18th St NW],20009,38.918125,-77.041923,5.0,10.0
147343.0,absolute-noodle-washington-2,"[[Chinese, chinese], [Salad, salad], [Thai, thai]]",[772 5th St NW],20001,38.8995606,-77.0189393,3.5,173.0
4789.0,absolute-kabab-pizza-washington,"[[Mediterranean, mediterranean], [Pizza, pizza]]",[2005 18th St NW],20009,38.917336,-77.041382,2.5,4.0
6132.0,absolute-thai-restaurant-washington-2,"[[Thai, thai]]",[521 G NW St],20001,38.89846,-77.01958,3.5,246.0
5137.0,acacia-bistro-and-wine-bar-washington-2,"[[Wine Bars, wine_bars], [Mediterranean, mediterranean]]",[4340 Connecticut Ave NW],20008,38.946264,-77.065229,3.0,123.0
1207.0,acadiana-washington,"[[Cajun/Creole, cajun]]",[901 New York Ave NW],20001,38.9022526362,-77.0244758682,4.0,1029.0
5300.0,acqua-al-2-washington,"[[Italian, italian]]",[212 7th St SE],20003,38.8868532,-76.9960346,4.0,454.0
5852.0,acre-121-washington,"[[Southern, southern], [Bars, bars], [Barbeque, bbq]]",[1400 Irving St NW],20010,38.928135785,-77.0336301081,3.0,214.0
